Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.6583698063515051Solution So Far: Solution: [-0.590063636634516, 0.6947299228236756, 0.6014055594690888, 0.5490380012034578, -0.4478918695753322, 0.46516918988798495, 0.2683422475637275, -0.7848522407424818];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -1.5809185552708718Solution So Far: Solution: [0.6735465801894852, -0.2608938480731844, 0.55633251595268, -0.7697135190436563, -0.7167417371963039, 0.7247041882296487, 0.49769416467508587, -0.05495563565919437];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.050023436935436Solution So Far: Solution: [0.030717235927756825, 0.48866373648653033, 0.01917108197633971, -0.785363632687811, -0.06057873486906007, 0.7575800296072835, 0.2869527733768854, -0.2974136618113947];

Generation: 3; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -1.5809185552708718Solution So Far: Solution: [0.6735465801894852, -0.2608938480731844, 0.55633251595268, -0.7697135190436563, -0.7167417371963039, 0.7247041882296487, 0.49769416467508587, -0.05495563565919437];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.46731764952101484Solution So Far: Solution: [0.013386519334829705, 0.07565646330738529, 0.7788703875097197, -0.36850946404226603, 0.0850728249591608, 0.39140675373741984, 0.6952689813970715, -0.058262222976160016];

Generation: 4; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.46731764952101484Solution So Far: Solution: [0.013386519334829705, 0.07565646330738529, 0.7788703875097197, -0.36850946404226603, 0.0850728249591608, 0.39140675373741984, 0.6952689813970715, -0.058262222976160016];

