Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -2.2098476886673915; Solution So Far: Solution: [-0.5899090822890305, -0.09042948106447704, 0.5012130620498619, -0.5205673117759809, 0.6536538716949573, 0.7438209632577105, 0.5404434412019982, 0.4579466536496864];

Generation: 3; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -2.2098476886673915; Solution So Far: Solution: [-0.5899090822890305, -0.09042948106447704, 0.5012130620498619, -0.5205673117759809, 0.6536538716949573, 0.7438209632577105, 0.5404434412019982, 0.4579466536496864];

Generation: 4; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.6528765861135647; Solution So Far: Solution: [-0.49444250649131716, -0.43198556818723366, 0.6885328796083637, 0.2005744623180401, 0.17229042925284443, 0.7713746120390186, -0.2750992329045636, 0.5982301143785763];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -1.6068998543680248; Solution So Far: Solution: [-0.6912683660769083, -0.6591862129057706, 0.7677336284489594, -0.6996918633829015, 0.7828309894365877, 0.44759748940027844, 0.7839301974707275, -0.15133212610521551];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -1.8985469292823025; Solution So Far: Solution: [-0.48474165090205146, -0.2570166687637127, 0.3539239913364286, -0.5692362684141, 0.7316312642248564, 0.5201198321191722, 0.6897657544073166, 0.26080964498262726];

Generation: 5; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -1.8985469292823025; Solution So Far: Solution: [-0.48474165090205146, -0.2570166687637127, 0.3539239913364286, -0.5692362684141, 0.7316312642248564, 0.5201198321191722, 0.6897657544073166, 0.26080964498262726];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -1.0778221040453437; Solution So Far: Solution: [-0.37160373655529166, -0.2995806046002267, 0.3336019665864066, -0.40481377422546805, 0.7276795929122608, 0.7825482023429673, 0.6404520574296332, 0.23798986202860462];

Generation: 6; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -1.0778221040453437; Solution So Far: Solution: [-0.37160373655529166, -0.2995806046002267, 0.3336019665864066, -0.40481377422546805, 0.7276795929122608, 0.7825482023429673, 0.6404520574296332, 0.23798986202860462];

Generation: 7; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.34431268432100437; Solution So Far: Solution: [-0.48127071080111766, -0.7784713144409902, 0.7718193713845118, -0.7853693667363537, 0.7288159024840696, 0.6795231584291362, 0.39873835377869105, 0.19912704237395537];

Generation: 8; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.22510064095716492; Solution So Far: Solution: [-0.04228025042865119, -0.6914256488730632, 0.39090763757122277, -0.3921094024609015, 0.38607352465529493, 0.7559036788385974, 0.17707366272615688, 0.40315897353328295];

Generation: 9; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.5478708492107037; Solution So Far: Solution: [0.1745707321688672, 0.07554386479534247, -0.04741163833180928, -0.6155159500350638, -0.1738682632962676, 0.6036391265886706, 0.13327326256050723, 0.016194163259634575];

Generation: 10; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.20887301071459163; Solution So Far: Solution: [-0.28264904654814216, -0.2150709216374977, 0.14784590847802498, -0.769657429318385, -0.0292330186963633, 0.5247714511487488, 0.3891799142759498, 0.6712042654505888];

Generation: 11; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.3764486911449926; Solution So Far: Solution: [0.015861616593523184, 0.0008515926420468167, 0.1757488094497081, -0.7842107903505521, 0.5596884124699647, 0.344263491140648, 0.3405517502571499, 0.4698587843169679];

Generation: 12; Duration: 12; MaxIterations: 20; Population: 12; Fitness: 0.16275261125786963; Solution So Far: Solution: [-0.20743524041046113, -0.5534647533624724, -0.14481229885755298, -0.7826834023198297, 0.5942349732202757, 0.45573185149905526, -0.2812114555366972, 0.6860543226711446];

Generation: 13; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.598709016326217; Solution So Far: Solution: [0.12315356764032549, -0.35164540521292986, 0.23257954657565283, -0.6508301956126871, 0.7710669423470273, 0.7393583599060157, 0.24145992874899005, 0.07486095374685592];

Generation: 14; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.4470455928335944; Solution So Far: Solution: [0.01649233788144061, 0.005444019292802693, 0.16404545521301866, -0.6944172247067382, 0.42859703392123916, 0.742370822943716, 0.3866194279647154, 0.11477297437112102];

Generation: 15; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.06791414467332182; Solution So Far: Solution: [-0.056992986993732786, 0.015698673501592125, 0.19998525418666233, -0.49936760647207346, 0.3037112141081175, 0.6909276614971565, 0.2840079959787924, 0.041148064439043425];

Generation: 16; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.5479629038490429; Solution So Far: Solution: [-0.19927973482914435, -0.2862739108060832, 0.30127793250315416, -0.3042572484151321, 0.7482295889275467, 0.7755151306440465, 0.04203595352011677, 0.15062995713350602];

Generation: 0; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -1.208577879067114; Solution So Far: Solution: [-0.24790972979641174, 0.04381621035028874, 0.22144223355087936, -0.6388904886507182, 0.5833241097283636, 0.7539248938899356, -0.2862634941620036, 0.5035240095583121];

Generation: 17; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -1.208577879067114; Solution So Far: Solution: [-0.24790972979641174, 0.04381621035028874, 0.22144223355087936, -0.6388904886507182, 0.5833241097283636, 0.7539248938899356, -0.2862634941620036, 0.5035240095583121];

Generation: 18; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.8962248521908437; Solution So Far: Solution: [-0.12386378247344268, -0.1198370662395602, 0.18749530946536053, 0.09117942528796791, 0.7136846791811153, 0.740919458122157, -0.28655831664228903, 0.4045622177500562];

Generation: 19; Duration: 12; MaxIterations: 20; Population: 12; Fitness: -0.30614836652900523; Solution So Far: Solution: [0.10501466289655426, 0.35091001697013, 0.22671988586752384, -0.1161469546608336, 0.7422358429206257, 0.49921016074866553, -0.4292714621288947, 0.7219029037450037];

